tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",130441
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Filipina",32765
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Kamboja",23
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Laos",0
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Malaysia",229796
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Myanmar",896
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Singapura",1573596
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Thailand",387805
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Vietnam",46376
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",110357
2005,"Agustus","Asia dan Timur Tengah","Asia Selatan","India",81133
2005,"Agustus","Asia dan Timur Tengah","Timur Tengah","Irak",0
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Jepang",841285
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Korea Selatan",579353
2005,"Agustus","Asia dan Timur Tengah","Asia Selatan","Pakistan",6504
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",566475
2005,"Agustus","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",255294
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",161068
2005,"Agustus","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",237165
2005,"Agustus","Australia dan Oceania","Australia","Australia",249643
2005,"Agustus","Australia dan Oceania","New Zealand","New Zealand",21172
2005,"Agustus","Afrika","Afrika Selatan","Afrika Selatan",27391
2005,"Agustus","Afrika","Afrika Lainnya","Afrika lainnya",157910
2005,"Agustus","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",83000
2005,"Agustus","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",584342
2005,"September","Amerika","Amerika Utara","Amerika Serikat",285498
2005,"September","Amerika","Amerika Utara","Kanada",65896
2005,"September","Amerika","Amerika Tengah dan Selatan","Argentina",27258
2005,"September","Amerika","Amerika Tengah dan Selatan","Brasil",58609
2005,"September","Amerika","Amerika Tengah dan Selatan","Meksiko",2787
2005,"September","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",12357
2005,"September","Eropa","Uni Eropa","Belanda",34309
2005,"September","Eropa","Uni Eropa","Belgia",28643
2005,"September","Eropa","Uni Eropa","Inggris",58902
2005,"September","Eropa","Uni Eropa","Italia",46955
2005,"September","Eropa","Uni Eropa","Jerman",168560
2005,"September","Eropa","Uni Eropa","Perancis",86886
2005,"September","Eropa","Uni Eropa","Spanyol",16017
2005,"September","Eropa","Uni Eropa","Uni Eropa lainnya ",171597
2005,"September","Eropa","Rusia","Rusia",20501
2005,"September","Eropa","Turki","Turki",5793
2005,"September","Eropa","Eropa Lainnya","Eropa lainnya",84525
2005,"September","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",127296
2005,"September","Asia dan Timur Tengah","ASEAN","Filipina",32734
2005,"September","Asia dan Timur Tengah","ASEAN","Kamboja",28
2005,"September","Asia dan Timur Tengah","ASEAN","Laos",0
2005,"September","Asia dan Timur Tengah","ASEAN","Malaysia",195556
2005,"September","Asia dan Timur Tengah","ASEAN","Myanmar",1044
2005,"September","Asia dan Timur Tengah","ASEAN","Singapura",1699957
2005,"September","Asia dan Timur Tengah","ASEAN","Thailand",343471
2005,"September","Asia dan Timur Tengah","ASEAN","Vietnam",7934
2005,"September","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",124735
2005,"September","Asia dan Timur Tengah","Asia Selatan","India",65035
2005,"September","Asia dan Timur Tengah","Timur Tengah","Irak",63
2005,"September","Asia dan Timur Tengah","Asia Timur","Jepang",909383
2005,"September","Asia dan Timur Tengah","Asia Timur","Korea Selatan",380396
2005,"September","Asia dan Timur Tengah","Asia Selatan","Pakistan",6204
2005,"September","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",443401
2005,"September","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",241942
2005,"September","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",169038
